ReleaseDate,ReleaseVersion
2022-03-25,2.12.1
2021-12-14,2.12.0
2021-08-24,2.11.2
2021-03-08,2.11.1
2020-10-26,2.11.0
2020-07-28,2.10.0
2020-05-26,2.9.0
2020-04-06,2.8.2
2020-03-16,2.8.1
2019-11-18,2.8.0
2019-07-22,2.7.0
2019-05-20,2.6.3
2019-04-30,2.6.2
2019-02-25,2.6.1
2018-11-06,2.6.0
2018-09-13,2.5.1
2018-03-28,2.5.0
2017-01-19,2.4
2016-02-04,2.2.1
2016-01-30,2.2
2014-06-03,2.1
2014-01-16,2.0.2
2014-01-12,2.0.1
2013-12-25,2.0
2012-08-18,1.3
2012-07-05,1.2
2012-06-19,1.1
2012-06-14,1.0
