ReleaseDate,ReleaseVersion
2020-11-08,2.3
2020-10-29,2.2
2017-06-23,1.20
2016-11-29,1.12
2014-11-19,1.11
2013-12-12,1.02
2013-12-06,1.01
2013-11-03,1.0
