ReleaseDate,ReleaseVersion
2022-08-07,2.34
2022-06-26,2.33
2020-11-30,2.26
2020-11-23,2.24
2020-11-10,2.23
2020-08-18,2.22
2019-03-20,1.26
2018-04-08,1.17
2017-09-30,1.16
2017-06-14,1.15
2016-12-07,1.14
2016-08-08,1.13
2014-12-07,1.11
2014-11-25,1.0.4
2014-02-14,1.0.2
2013-12-09,1.01
2013-12-04,1.0

