importance,names,prediction
0.03449025088758537,american red cross,1
0.005142928132919209,app could save,1
0.021230708205206755,app easy use,1
0.04178588069086944,app first aid,1
0.05124521230670873,app never know,1
0.012589958035909782,app save life,1
0.049874576774809186,basic first aid,1
0.013177466598514305,best app ever,1
0.005763011306676963,best first aid,1
0.003429093937258024,best first aid app,1
0.013130834950821126,could save life,1
0.0011106659451033836,could save someone,1
0.0005309856640603228,could save someone life,1
0.06639422781480961,cpr first aid,1
0.004385199275410354,cross first aid,1
0.007191059969098731,easy use app,1
0.009556449096184626,easy use understand,1
0.05121218273995599,everyone need app,1
0.046809333503232964,first aid app,1
0.03478581640240545,first aid class,1
0.008374773797339405,first aid course,1
0.009857114977737681,first aid cpr,1
0.05480059538379342,first aid emergency,1
0.032116344520020726,first aid information,1
0.015958350047836408,first aid training,1
0.00920077186673129,great app emergency,1
0.00878188367574101,great app everyone,1
0.013535880806414666,great app useful,1
0.019420292655851965,help save life,1
0.01571055436803358,hope never need,1
0.008873400535798034,hope never use,1
0.009121371425610926,job red cross,1
0.02441766124668197,know emergency situation,1
0.006339455995815225,know might need,1
0.047471022553496424,life saving app,1
0.010197319438867609,lot useful information,1
0.04731087239730781,never know emergency,1
0.03454621293242252,never know might,1
0.0025822815728748704,never know might need,1
0.008668097686599026,really good app,1
0.026723772265792055,really like app,1
0.010217683230528378,red cross app,1
0.0065273817712572,red cross first,1
0.0037579032484819893,red cross first aid,1
0.02506011851296898,save someone life,1
0.010856476259281399,step step instruction,1
0.009069100355830409,thank red cross,1
0.017390820006867057,thanks red cross,1
0.010335841562017535,well put together,1
0.018940802664460132,would like see,1
