ReleaseDate,ReleaseVersion
2021-11-26,2.12.0
2021-08-25,2.11.2
2021-03-08,2.11.1
2020-10-26,2.11.0
2020-07-23,2.10.0
2020-05-26,2.9.0
2020-04-06,2.8.2
2020-03-16,2.8.1
2019-11-18,2.8.0
2019-09-05,2.7.3
2019-07-29,2.7.2
2019-07-22,2.7.1
2019-07-16,2.7.0
2019-04-30,2.6.2
2019-03-04,2.6.1
2018-11-07,2.6.0
2018-09-04,2.5.1
2018-03-28,2.5.0
2017-03-13,2.4.2
2017-02-08,2.4.1
2017-01-19,2.4
2016-01-29,2.3.1
2016-01-28,2.2
2015-04-14,2.1.1
2014-11-25,2.1
